[c],name,start,stop,
csiro:A002113,CSIRO Division of Land Assessment,29/03/1973,12/04/1973,
csiro:A000677,CSIRO Division of Land Research,1/01/1965,31/12/1973,
csiro:A000678,CSIRO Division of Land Research and Regional Survey,1/01/1957,31/12/1965,
csiro:A000675,CSIRO Division of Land Resources Management,1/03/1973,31/12/1982,
csiro:A000676,CSIRO Division of Land Use Research,1/01/1973,31/12/1982,
csiro:A000766,CSIRO Division of Manufacturing Science and Technology,1/01/1997,31/07/2002,
csiro:A000765,CSIRO Division of Manufacturing Technology,1/01/1980,31/12/1997,
csiro:A000655,CSIRO Division of Materials Science,1/01/1978,31/12/1986,
csiro:A000583,CSIRO Division of Materials Science and Technology,1/01/1987,31/12/1997,
csiro:A000687,CSIRO Division of Mathematical Statistics,1/01/1954,31/12/1974,
csiro:A000777,CSIRO Division of Mathematics and Statistics,1/01/1974,31/12/1997,
csiro:A000688,CSIRO Division of Mechanical Engineering,27/11/1963,31/12/1981,
csiro:A000763,CSIRO Division of Meteorological Physics,1/01/1954,31/12/1971,
csiro:A000685,CSIRO Division of Metrology,1/01/1945,31/12/1962,
csiro:A000626,CSIRO Division of Mineral and Process Engineering,1/01/1987,31/12/1995,
csiro:A000624,CSIRO Division of Mineral Chemistry,26/05/1959,31/12/1988,
csiro:A000625,CSIRO Division of Mineral Engineering,1/01/1978,31/12/1987,
csiro:A000639,CSIRO Division of Mineral Physics,12/10/1972,31/12/1986,
csiro:A000698,CSIRO Division of Mineral Products,1/01/1988,31/12/1995,
csiro:A000696,CSIRO Division of Mineralogy,1/01/1971,30/09/1984,
csiro:A000780,CSIRO Division of Mineralogy and Geochemistry,1/09/1984,1/07/1985,
csiro:A000781,CSIRO Division of Minerals and Geochemistry,1/07/1985,31/12/1987,
csiro:A000754,CSIRO Division of Molecular Biology,1/09/1983,31/12/1987,
csiro:A000742,CSIRO Division of Molecular Science,1/07/1997,31/12/2005,
csiro:A000737,CSIRO Division of Nutritional Biochemistry,10/10/1965,1/01/1975,
csiro:A000662,CSIRO Division of Oceanography,1/07/1981,1/02/1997,
csiro:A000743,CSIRO Division of Organic Chemistry,1/01/1961,21/08/1966,
csiro:A000745,CSIRO Division of Physical Chemistry,8/10/1958,22/08/1966,
csiro:A000682,CSIRO Division of Physics,1/01/1945,31/12/1973,
csiro:A000699,CSIRO Division of Process Technology,14/10/1975,31/12/1980,
csiro:A000615,CSIRO Division of Protein Chemistry,9/10/1958,1/01/1988,
csiro:A000219,CSIRO Division of Radiophysics,1/01/1940,20/09/1996,
csiro:A000788,CSIRO Division of Soil Mechanics,1/01/1967,31/12/1970,
csiro:A000672,CSIRO Division of Soils,1/08/1929,31/12/1997,
csiro:A000616,CSIRO Division of Textile Industry,1/01/1958,31/12/1988,
csiro:A000617,CSIRO Division of Textile Physics,1/01/1958,31/12/1988,
csiro:A000595,CSIRO Division of Tribophysics,1/01/1948,31/12/1978,
csiro:A000665,CSIRO Division of Tropical Agriculture,1/01/1996,31/12/2000,
csiro:A000666,CSIRO Division of Tropical Agronomy,29/03/1973,31/12/1976,
csiro:A000755,CSIRO Division of Tropical Animal Production,1/01/1980,31/12/1996,
csiro:A000596,CSIRO Division of Tropical Crops and Pastures,1/01/1976,31/12/1995,
csiro:A000667,CSIRO Division of Tropical Pastures,1/07/1959,29/03/1973,
csiro:A000597,CSIRO Division of Water and Land Resources,1/01/1982,31/12/1987,
csiro:A000671,CSIRO Division of Water Resources,1/01/1988,31/12/1997,
csiro:A000598,CSIRO Division of Wildlife and Ecology,1/01/1987,31/12/2000,
csiro:A000600,CSIRO Division of Wildlife and Rangelands Research,1/01/1982,31/12/1987,
csiro:A000599,CSIRO Division of Wildlife Research,2/07/1962,31/12/1982,
csiro:A000613,CSIRO Division of Wool Technology,1/01/1988,31/12/1999,
csiro:A000762,CSIRO Engineering Section,1/01/1955,31/12/1963,
csiro:A000658,CSIRO Fisheries Investigations Section,1/03/1937,31/12/1939,
csiro:A000708,CSIRO Fuel Geoscience Unit,1/01/1977,31/12/1980,
csiro:A000799,CSIRO Grain Quality Research Laboratory,1/01/1992,31/12/1998,
csiro:A000793,CSIRO Horticultural Research Section,30/11/1962,18/08/1967,
csiro:A000772,CSIRO Irrigation Research Laboratory,1/01/1961,28/08/1967,
csiro:A000773,CSIRO Irrigation Research Station,1/01/1939,31/12/1961,
csiro:A000679,CSIRO Land Research and Regional Survey Section,1/01/1950,31/12/1957,
csiro:A000594,CSIRO Marine Research,1/02/1997,1/07/2005,
csiro:A000776,CSIRO Mathematical Statistics Section,1/01/1944,31/12/1954,
csiro:A000690,CSIRO McMaster Laboratory,1/01/1963,31/12/2001,
csiro:A000691,CSIRO Meat Research Laboratory,1/01/1969,31/12/1992,
csiro:A000764,CSIRO Meteorological Physics Research Section,19/05/1949,31/12/1954,
csiro:A000700,CSIRO Mineragraphic Investigations,1/01/1927,31/12/1966,
csiro:A000707,CSIRO Mineral Physics Section,1/07/1971,12/10/1972,
csiro:A000885,CSIRO Minerals Research Laboratories,31/10/1972,31/12/1980,
csiro:A000703,CSIRO Minerals Utilization Section,9/10/1958,31/05/1959,
csiro:A000797,CSIRO Molecular and Cellular Biology Unit,10/11/1975,31/12/1983,
